Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Average Speed,Driver Behavior,Reason for lane change,Remarks
Vehicle,1 Lane Left,2nd Lane,,9:31:55,Low (0 - 33 %),,,Jeepney in Lane 1 Unloading/Loading,
Vehicle,1 Lane Right,1st Lane,,9:31:00,Low (0 - 33 %),,,Incoming jeepney ,
Vehicle,1 Lane Left,2nd Lane,,9:32:13,Low (0 - 33 %),,,,
Vehicle,1 Lane Right,1st Lane,Sudden Acceleration,9:32:42,Low (0 - 33 %),,,Slow lane due to Incoming vehicle from the left,
Vehicle,Go,1st Lane,Sudden Acceleration,9:32:51,Low (0 - 33 %),,,,
Vehicle,1 Lane Left,2nd Lane,,9:32:56,Low (0 - 33 %),,,Jeepney in Lane 1 Loading,
Vehicle,1 Lane Right,1st Lane,Sudden Acceleration,9:33:11,Low (0 - 33 %),36,,No traffic in lane 1,
Vehicle,1 Lane Left,2nd Lane,,9:33:24,Low (0 - 33 %),,,Turning left,
Vehicle,2 Lane Right,1st Lane,,9:33:30,Low (0 - 33 %),,,Merging into 3 lanes coming from the right most lane,
Vehicle,Stop,1st Lane,,9:34:00,Low (0 - 33 %),,,Traffic turning right,
Vehicle,Go,1st Lane,,9:34:03,Low (0 - 33 %),,,,
Vehicle,Unload,1st Lane,,9:34:19,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,9:34:28,Low (0 - 33 %),,,,
Vehicle,1 Lane Left,2nd Lane,,9:34:51,Low (0 - 33 %),,,Right lane has trees by the sidewalk towards the road,
Vehicle,1 Lane Right,1st Lane,,9:36:17,Low (0 - 33 %),,,,
Vehicle,Stop,1st Lane,,9:37:04,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,9:37:06,Low (0 - 33 %),,,,
Vehicle,Stop,1st Lane,,9:37:55,Low (0 - 33 %),,,Incoming vehicles from the right (Intersection),
Vehicle,Go,1st Lane,,3:39:04,Low (0 - 33 %),,,,
Stoplight,Stop,1st Lane,,9:39:30,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,9:39:57,Low (0 - 33 %),,,,
Stoplight,Stop,1st Lane,,9:40:29,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,9:43:04,Low (0 - 33 %),,,,
Passenger,Load,1st Lane,,9:43:17,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,Sudden Acceleration,9:43:21,Low (0 - 33 %),23,,,
Passenger,Load,1st Lane,,9:42:30,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,9:43:39,Low (0 - 33 %),,,,
Vehicle,1 Lane Left,2nd Lane,,9:43:40,Low (0 - 33 %),,,"Bike Lane + Latter part, vehicles are  parked since its nearby a marketplace",
Passenger,Load,2nd Lane,,9:44:56,Moderate (34 - 80 %),,,,
Vehicle,Go,2nd Lane,,9:45:03,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Right,1st Lane,,9:45:17,Moderate (34 - 80 %),,,Bike Tricycle in 2nd lane,
Stoplight,Stop,1st Lane,,9:45:24,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,9:47:00,Moderate (34 - 80 %),,,,
Passenger,Load,1st Lane,,9:47:19,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,9:47:27,Moderate (34 - 80 %),,,,
Passenger,Unload,1st Lane,,9:47:43,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,9:47:46,Low (0 - 33 %),,,,
Vehicle,2 Lane Left,3rd Lane,,9:48:13,Low (0 - 33 %),,,Jeepney in front unloading (1st lane) + Jeepney in front loading/unloading (lane 2),
Vehicle,1 Lane Right,2nd Lane,,9:48:24,Low (0 - 33 %),,,Private Vehicle in front is slow,
Vehicle,Stop,2nd Lane,,9:48:35,Low (0 - 33 %),,,,
Vehicle,Go,2nd Lane,,9:48:51,Low (0 - 33 %),,,,traffic
Stoplight,Stop,2nd Lane,,9:48:52,Low (0 - 33 %),,,,
Vehicle,Go,2nd Lane,,9:50:02,Low (0 - 33 %),,,,
Vehicle,1 Lane Right,1st Lane,,9:50:11,Low (0 - 33 %),,,About to Turn Right,
Passenger,Load,1st Lane,,9:50:29,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,9:50:34,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,2nd Lane,,9:50:45,Moderate (34 - 80 %),,,Parked/Idle Car in lane 1,
Vehicle,1 Lane Right,1st Lane,,9:50:51,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,2nd Lane,,9:51:43,Moderate (34 - 80 %),,,Tric-Bicycle in front is slow,
Vehicle,1 Lane Right,1st Lane,,9:51:48,Moderate (34 - 80 %),,,,
Passenger,Unload,1st Lane,,9:52:49,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,9:52:51,Moderate (34 - 80 %),,,,
Passenger,Unload,1st Lane,,9:54:54,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,9:54:59,Moderate (34 - 80 %),,,,
Passenger,Unload,1st Lane,,9:55:06,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,9:55:10,Low (0 - 33 %),,,,
Passenger,Unload,1st Lane,,9:55:42,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,9:55:53,Low (0 - 33 %),,,,
Passenger,Unload,1st Lane,,9:56:30,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,9:56:35,Low (0 - 33 %),,,,
Vehicle,Stop,1st Lane,,9:56:40,Low (0 - 33 %),,,Traffic,
Vehicle,Go,1st Lane,,9:57:40,Low (0 - 33 %),,,,
Vehicle,Stop,1st Lane,,9:58:05,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,9:58:58,Low (0 - 33 %),,,,
Vehicle,Stop,1st Lane,,9:59:12,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,10:00:06,Low (0 - 33 %),,,,
Vehicle,Stop,1st Lane,,10:00:33,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,10:01:24,Low (0 - 33 %),,,,
Vehicle,Stop,1st Lane,,10:02:44,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,10:03:54,Low (0 - 33 %),,,,
Vehicle,Stop,1st Lane,,10:04:08,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,10:04:44,Low (0 - 33 %),,,,
Vehicle,Stop,1st Lane,,10:05:06,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,10:05:56,Low (0 - 33 %),,,,End
Vehicle,Wait,1st Lane,,9:25:38,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,9:26:51,Low (0 - 33 %),,,,
Passenger,Load,1st Lane,,9:27:15,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,9:27:21,Low (0 - 33 %),,,,
Vehicle,1 Lane Left,2nd Lane,,9:28:23,Low (0 - 33 %),,,Parked Car in 1st Lane,
Vehicle,1 Lane Right,1st Lane,,9:28:48,Low (0 - 33 %),,,,
Stoplight,Stop,1st Lane,,9:29:51,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,9:30:32,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,Sudden Acceleration,9:30:59,Low (0 - 33 %),,,No traffic,
Passenger,Load,1st Lane,,9:31:26,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,9:31:53,Moderate (34 - 80 %),,,,
Passenger,Load,1st Lane,,9:32:25,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,9:33:06,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,2nd Lane,Sudden Acceleration,9:34:21,Moderate (34 - 80 %),,,Slow Tricycle in bike lane,
