Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Driver Behavior,Reason for lane change,Remarks
Vehicle,Stop,1st Lane,,6:47:30,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,6:47:31,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,7:00:15,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,7:00:26,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,7:00:27,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,7:00:30,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,7:00:31,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,7:00:33,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,7:00:37,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,7:00:38,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,7:00:39,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,7:00:44,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,7:00:45,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,7:00:50,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,7:00:51,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,7:00:54,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,7:00:55,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,7:00:56,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,7:01:04,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,7:01:05,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,7:01:07,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,7:01:10,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,7:01:11,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,7:01:12,Low (0 - 33 %),,,
Vehicle,1 Lane Left,2nd Lane,,7:03:45,Low (0 - 33 %),,,
Vehicle,1 Lane Right,1st Lane,,7:04:10,Low (0 - 33 %),,,
Stoplight,Stop,1st Lane,,7:04:55,Low (0 - 33 %),,,
Vehicle,1 Lane Left,2nd Lane,,7:05:00,Low (0 - 33 %),,,
Vehicle,1 Lane Right,1st Lane,,7:05:20,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,Sudden Break,7:05:28,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,7:05:29,Low (0 - 33 %),,,
Stoplight,Go,1st Lane,,7:06:00,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,7:06:08,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,Sudden Break,7:06:37,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,7:06:38,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,7:07:03,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,7:07:18,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,7:07:19,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,7:07:34,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,7:07:35,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,7:07:43,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,7:07:44,Low (0 - 33 %),,,
Stoplight,Stop,1st Lane,,7:07:45,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,7:07:55,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,7:07:56,Low (0 - 33 %),,,
Stoplight,Go,1st Lane,,7:08:25,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,7:08:28,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,7:08:47,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,7:08:48,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,7:08:52,Low (0 - 33 %),,,
Vehicle,1 Lane Left,2nd Lane,,7:09:45,Low (0 - 33 %),,,
Vehicle,1 Lane Right,1st Lane,,7:09:50,Low (0 - 33 %),,,
Vehicle,1 Lane Left,2nd Lane,,7:10:20,Low (0 - 33 %),,,
Vehicle,1 Lane Right,1st Lane,,7:10:27,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,7:11:15,Low (0 - 33 %),,,
Passenger,Load,1st Lane,,7:11:16,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,7:11:17,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,7:11:45,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,7:11:46,Low (0 - 33 %),,,
Passenger,Load,1st Lane,,7:11:47,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,7:11:48,Low (0 - 33 %),,,
Vehicle,1 Lane Left,2nd Lane,,7:12:15,Low (0 - 33 %),,,
Vehicle,1 Lane Right,1st Lane,,7:12:24,Low (0 - 33 %),,,
Vehicle,1 Lane Left,2nd Lane,,7:12:31,Low (0 - 33 %),,,
Vehicle,1 Lane Left,3rd Lane,,7:13:02,Low (0 - 33 %),,,
Vehicle,1 Lane Right,2nd Lane,,7:13:12,Low (0 - 33 %),,,
Vehicle,Stop,2nd Lane,,7:13:17,Low (0 - 33 %),,,
Passenger,Wait,2nd Lane,,7:13:18,Low (0 - 33 %),,,
Passenger,Load,2nd Lane,,7:13:19,Low (0 - 33 %),,,
Vehicle,Go,2nd Lane,,7:13:20,Low (0 - 33 %),,,
Vehicle,1 Lane Left,3rd Lane,,7:14:00,Low (0 - 33 %),,,
