Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Driver Behavior,Reason for lane change,Remarks
Vehicle,Go,2nd Lane,,18:02:45,Moderate (34 - 80 %),,,
Stoplight,Stop,2nd Lane,,18:03:06,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,18:03:33,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,18:04:33,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,,Moderate (34 - 80 %),,,
Vehicle,2 Lane Right,4th Lane,,18:05:23,Moderate (34 - 80 %),,,
Passenger,Stop,4th Lane,,,Moderate (34 - 80 %),,,
Passenger,Load,4th Lane,,18:05:30,Moderate (34 - 80 %),,,
Vehicle,Go,4th Lane,,,Moderate (34 - 80 %),,,
Vehicle,Stop,4th Lane,,18:06:45,Moderate (34 - 80 %),,,
Vehicle,Go,4th Lane,,18:07:07,Moderate (34 - 80 %),,,
Passenger,Wait,4th Lane,,,Moderate (34 - 80 %),,,
Passenger,Load,4th Lane,,18:07:54,Moderate (34 - 80 %),,,
Vehicle,Go,4th Lane,,18:08:03,Moderate (34 - 80 %),,,
Vehicle,1 Lane Left,3rd Lane,,18:08:37,Moderate (34 - 80 %),,,
Vehicle,Stop,3rd Lane,,18:10:20,Moderate (34 - 80 %),,,car jam
Vehicle,Go,1st Lane,,18:10:38,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,18:11:11,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,18:11:35,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,18:11:49,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,18:12:12,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,18:13:22,Moderate (34 - 80 %),,,
Vehicle,1 Lane Right,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Stop,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Load,2nd Lane,,18:13:54,Full (81 - 100%),,,
Vehicle,Go,2nd Lane,,18:14:00,Full (81 - 100%),,,
Vehicle,1 Lane Left,1st Lane,,18:14:12,Full (81 - 100%),,,
Vehicle,Stop,1st Lane,,18:14:59,Full (81 - 100%),,,
Vehicle,Go,1st Lane,,18:15:02,Full (81 - 100%),,,
Vehicle,1 Lane Right,2nd Lane,,,Full (81 - 100%),,,
Passenger,Wait,2nd Lane,,,Full (81 - 100%),,,
Passenger,Load,2nd Lane,,18:15:28,Full (81 - 100%),,,
Vehicle,Go,2nd Lane,,18:15:31,Full (81 - 100%),,,
Vehicle,Stop,2nd Lane,,18:15:37,Full (81 - 100%),,,
Vehicle,Go,2nd Lane,,18:16:59,Full (81 - 100%),,,
Passenger,Stop,2nd Lane,,,Full (81 - 100%),,,
Passenger,Unload,2nd Lane,,18:17:26,Full (81 - 100%),,,
Passenger,Load,2nd Lane,,,Full (81 - 100%),,,
Vehicle,Go,2nd Lane,,18:17:43,Full (81 - 100%),,,
Passenger,Stop,2nd Lane,,,Full (81 - 100%),,,
Passenger,Load,2nd Lane,,,Full (81 - 100%),,,
Vehicle,Go,2nd Lane,,18:18:16,Full (81 - 100%),,,
Vehicle,Stop,2nd Lane,,18:18:28,Full (81 - 100%),,,
Vehicle,Go,2nd Lane,,18:18:41,Full (81 - 100%),,,
Passenger,Stop,2nd Lane,,,Full (81 - 100%),,,
Passenger,Unload,2nd Lane,,18:19:41,Full (81 - 100%),,,
Vehicle,Go,2nd Lane,,18:19:44,Full (81 - 100%),,,
Passenger,Stop,2nd Lane,,,Full (81 - 100%),,,
Passenger,Load,2nd Lane,,18:20:02,Full (81 - 100%),,,
Vehicle,Go,2nd Lane,,18:20:12,Full (81 - 100%),,,
Vehicle,1 Lane Left,1st Lane,,18:20:21,Full (81 - 100%),,,
Vehicle,1 Lane Right,2nd Lane,,18:20:31,Full (81 - 100%),,,
Stoplight,Stop,2nd Lane,,18:24:51,Full (81 - 100%),,,
Vehicle,Go,2nd Lane,,18:26:03,Full (81 - 100%),,,
Passenger,Stop,2nd Lane,,,Full (81 - 100%),,,
Passenger,Unload,2nd Lane,,18:26:05,Full (81 - 100%),,,
Vehicle,Go,2nd Lane,,18:26:07,Full (81 - 100%),,,
Passenger,Stop,2nd Lane,,,Full (81 - 100%),,,
Passenger,Load,2nd Lane,,18:26:33,Full (81 - 100%),,,
Vehicle,Go,2nd Lane,,18:26:39,Full (81 - 100%),,,
Passenger,Stop,2nd Lane,,,Full (81 - 100%),,,
Passenger,Unload,2nd Lane,,18:27:10,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,18:27:22,Moderate (34 - 80 %),,,
Passenger,Stop,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Unload,2nd Lane,,18:28:11,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,18:28:19,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,18:28:44,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,,Moderate (34 - 80 %),,,
Stoplight,Stop,2nd Lane,,18:33:52,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,18:35:02,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,18:36:51,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,18:37:10,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,18:37:43,Moderate (34 - 80 %),,,
Passenger,Load,2nd Lane,,18:38:35,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,18:38:48,Moderate (34 - 80 %),,,
Vehicle,1 Lane Left,1st Lane,,18:38:59,Moderate (34 - 80 %),,,
Vehicle,1 Lane Right,2nd Lane,,18:39:24,Moderate (34 - 80 %),,,
Passenger,Stop,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Unload,2nd Lane,,,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,18:39:36,Low (0 - 33 %),,,
Passenger,Stop,1st Lane,,,Low (0 - 33 %),,,
Passenger,Unload,1st Lane,,18:42:20,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,,Low (0 - 33 %),,,
Passenger,Unload,1st Lane,,18:49:00,Low (0 - 33 %),,,end of the line j posadas
