Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Average Speed,Driver Behavior,Reason for lane change,Remarks
Vehicle,1 Lane Left,2nd Lane,,11:03:15,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,3rd Lane,,11:03:25,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Right,2nd Lane,,11:05:06,Moderate (34 - 80 %),,,CUT,
Vehicle,Stop,1st Lane,,11:05:46,Moderate (34 - 80 %),,,Traffic,
Vehicle,Go,1st Lane,,11:11:09,Moderate (34 - 80 %),,,,Note: Slowly moving
Vehicle,Stop,1st Lane,,11:11:26,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,11:11:30,Moderate (34 - 80 %),,,,
Passenger,Load,1st Lane,,11:12:03,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,11:12:07,Moderate (34 - 80 %),,,,
Passenger,Load,1st Lane,,11:12:35,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,11:12:40,Moderate (34 - 80 %),,,,
Stoplight,Stop,1st Lane,,11:13:01,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,11:14:44,Moderate (34 - 80 %),,,,
Passenger,Load,1st Lane,,11:15:19,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,11:15:28,Moderate (34 - 80 %),,,,
Vehicle,Stop,1st Lane,,11:16:12,Moderate (34 - 80 %),,,Traffic,
Vehicle,Go,1st Lane,,11:16:38,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,11:23:29,Low (0 - 33 %),,,End of ride,
Vehicle,Stop,1st Lane,,11:24:03,Low (0 - 33 %),,,,
