Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Driver Behavior,Reason for lane change,Remarks
Passenger,Unload,4th Lane,,18:16,Moderate (34 - 80 %),,,
Passenger,Load,4th Lane,,,Moderate (34 - 80 %),,,
Vehicle,Go,4th Lane,,,Moderate (34 - 80 %),,,
Passenger,Stop,4th Lane,,,Moderate (34 - 80 %),,,
Passenger,Unload,4th Lane,,,Moderate (34 - 80 %),,,
Vehicle,Go,4th Lane,,,Moderate (34 - 80 %),,,
Vehicle,Stop,4th Lane,,,Moderate (34 - 80 %),,,car jam
Vehicle,2 Lane Left,2nd Lane,,,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Stop,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Unload,2nd Lane,,,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Stop,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Load,2nd Lane,,18:21,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Stop,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Load,2nd Lane,,18:22,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,,Moderate (34 - 80 %),,,
Vehicle,1 Lane Left,1st Lane,,,Moderate (34 - 80 %),,,
Passenger,Stop,1st Lane,,,Moderate (34 - 80 %),,,
Passenger,Unload,1st Lane,,18:23:25,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,,Moderate (34 - 80 %),,,
Vehicle,2 Lane Right,3rd Lane,,18:25,Moderate (34 - 80 %),,,
Vehicle,Stop,3rd Lane,,,Moderate (34 - 80 %),,,car jam
Vehicle,Go,3rd Lane,,18:26,Moderate (34 - 80 %),,,
Passenger,Stop,3rd Lane,,,Moderate (34 - 80 %),,,
Passenger,Unload,3rd Lane,,18:28,Moderate (34 - 80 %),,,
Vehicle,Go,3rd Lane,,,Moderate (34 - 80 %),,,
Vehicle,1 Lane Left,3rd Lane,,18:29,Moderate (34 - 80 %),,,
Vehicle,Stop,3rd Lane,,18:30,Moderate (34 - 80 %),,,
Vehicle,Go,3rd Lane,,,Moderate (34 - 80 %),,,
Vehicle,2 Lane Right,4th Lane,,,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Unload,2nd Lane,,18:32,Low (0 - 33 %),,,
Passenger,Load,2nd Lane,,,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Stop,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Unload,2nd Lane,,18:33,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,18:34,Moderate (34 - 80 %),,,car jam
Vehicle,1 Lane Left,1st Lane,,,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,,Moderate (34 - 80 %),,,
Stoplight,Stop,1st Lane,,18:41,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,18:44,Moderate (34 - 80 %),,,
Vehicle,1 Lane Right,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Stop,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Unload,2nd Lane,,,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Stop,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Unload,2nd Lane,,18:49,Low (0 - 33 %),,,
Vehicle,Go,2nd Lane,,,Low (0 - 33 %),,,
Vehicle,Stop,2nd Lane,,,Low (0 - 33 %),,,
Vehicle,Go,2nd Lane,,,Low (0 - 33 %),,,
Passenger,Stop,2nd Lane,,,Low (0 - 33 %),,,
Passenger,Load,2nd Lane,,18:50,Low (0 - 33 %),,,
Vehicle,Go,2nd Lane,,,Low (0 - 33 %),,,
Passenger,Stop,2nd Lane,,,Low (0 - 33 %),,,
Passenger,Unload,2nd Lane,,18:53,Low (0 - 33 %),,,
Vehicle,Go,2nd Lane,,,Low (0 - 33 %),,,
Vehicle,Stop,2nd Lane,,,Low (0 - 33 %),,,
Passenger,Unload,2nd Lane,,18:56,Low (0 - 33 %),,,end of line J posadas
