Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Driver Behavior,Reason for lane change,Remarks
Vehicle,1 Lane Right,1st Lane,,8:32:30,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,8:32:55,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,8:32:56,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,8:33:24,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,8:33:25,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,8:33:36,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,8:34:25,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,8:34:26,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,8:34:30,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,8:34:35,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,8:34:36,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,8:34:46,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,8:34:47,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,8:34:54,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,8:35:10,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,8:35:11,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,8:35:57,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,8:35:58,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,8:36:04,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,8:36:05,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,8:37:00,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,8:37:01,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,8:37:11,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,8:37:12,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,8:37:14,Low (0 - 33 %),,,
Stoplight,Stop,1st Lane,,8:37:15,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,8:37:29,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,8:37:30,Low (0 - 33 %),,,
Vehicle,Unload,1st Lane,,8:37:34,Low (0 - 33 %),-1,,
Passenger,Wait,1st Lane,,8:37:35,Low (0 - 33 %),,,
Stoplight,Go,1st Lane,,8:37:49,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,8:37:52,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,8:38:17,Low (0 - 33 %),,,
Passenger,Load,1st Lane,,8:38:18,Low (0 - 33 %),1,,
Vehicle,Go,1st Lane,,8:38:19,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,8:38:45,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,8:38:46,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,8:38:47,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,8:38:53,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,8:38:54,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,8:38:58,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,8:39:03,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,8:39:04,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,8:39:10,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,8:39:11,Low (0 - 33 %),,,
Passenger,Load,1st Lane,,8:39:15,Low (0 - 33 %),1,,
Vehicle,Go,1st Lane,,8:39:17,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,8:39:50,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,8:39:51,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,8:40:02,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,8:40:03,Low (0 - 33 %),,,
Vehicle,1 Lane Left,2nd Lane,,8:40:10,Low (0 - 33 %),,,
Vehicle,1 Lane Right,1st Lane,,8:40:40,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,8:41:33,Low (0 - 33 %),,,
Passenger,Unload,1st Lane,,8:41:34,Low (0 - 33 %),-1,,
Vehicle,Go,1st Lane,,8:41:35,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,8:42:20,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,8:42:21,Low (0 - 33 %),,,
Stoplight,Go,1st Lane,,8:42:24,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,8:42:25,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,8:43:10,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,8:43:11,Low (0 - 33 %),,,
Passenger,Unload,1st Lane,,8:43:12,Low (0 - 33 %),-2,,
Vehicle,Go,1st Lane,,8:43:15,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,8:43:54,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,8:43:55,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,8:45:24,Low (0 - 33 %),,,
Passenger,Unload,1st Lane,,8:45:25,Low (0 - 33 %),-11,,
