Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Average Speed,Driver Behavior,Reason for lane change,Passenger Load,Remarks
Vehicle,Stop,1st Lane,,13:12:31,Moderate (34 - 80 %),,,,,
Vehicle,Go,1st Lane,,13:12:45,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,13:12:53,Moderate (34 - 80 %),,,,,
Vehicle,Go,1st Lane,,13:13:00,Moderate (34 - 80 %),,,,,
Vehicle,2 Lane Left,3rd Lane,,13:13:04,Moderate (34 - 80 %),20km/h,,"avoid traffic, turning left",,
Vehicle,Stop,3rd Lane,Sudden Break,13:13:17,Moderate (34 - 80 %),,pedestrian,,,
Vehicle,Go,3rd Lane,,13:13:23,Moderate (34 - 80 %),,,,,
Vehicle,Stop,3rd Lane,,13:13:38,Moderate (34 - 80 %),,,,,
Vehicle,Go,3rd Lane,,13:14:16,Moderate (34 - 80 %),,,,,
Vehicle,Stop,3rd Lane,,13:14:32,Moderate (34 - 80 %),,,,,
Vehicle,Go,3rd Lane,,13:14:55,Moderate (34 - 80 %),26km/h,,,,
Vehicle,1 Lane Left,2nd Lane,,13:15:53,Moderate (34 - 80 %),,,jeepneys blocking traffic,,new road from 3lane to 2lane; turned left to the 1st lane
Vehicle,Stop,2nd Lane,,13:16:17,Moderate (34 - 80 %),,,,,traffic
Vehicle,Go,2nd Lane,,13:16:22,Moderate (34 - 80 %),3km/h,,,,
Vehicle,Stop,2nd Lane,,13:16:30,Moderate (34 - 80 %),,jeeps unloading in front,,,
Vehicle,Go,2nd Lane,,13:16:35,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Right,1st Lane,,13:16:45,Moderate (34 - 80 %),,,see passengers at right,,
Vehicle,Stop,1st Lane,,13:16:52,Moderate (34 - 80 %),,,,,
Passenger,Load,1st Lane,,13:16:55,Moderate (34 - 80 %),,,,20,
Passenger,Unload,1st Lane,,13:16:55,Moderate (34 - 80 %),,,,19,
Vehicle,Go,1st Lane,,13:17:10,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,13:17:20,Moderate (34 - 80 %),,,,,
Passenger,Unload,1st Lane,,13:17:21,Moderate (34 - 80 %),,,,17,
Vehicle,Go,1st Lane,,13:18:04,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Left,2nd Lane,,13:18:06,Moderate (34 - 80 %),,,overtake stopped jeeps,,
Vehicle,1 Lane Right,1st Lane,,13:18:14,Moderate (34 - 80 %),,,return back to previous lane,,
Vehicle,Stop,1st Lane,,13:18:49,Moderate (34 - 80 %),,stopped in intersection,,,
Vehicle,Go,1st Lane,,13:18:54,Moderate (34 - 80 %),1km/h,,,,
Vehicle,Stop,1st Lane,,13:19:00,Moderate (34 - 80 %),,,,,
Vehicle,Go,1st Lane,,13:19:07,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,13:19:16,Moderate (34 - 80 %),,,,,
Vehicle,Go,1st Lane,,13:19:28,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,13:19:50,Moderate (34 - 80 %),,,,,
Vehicle,Go,1st Lane,,13:20:31,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,13:20:43,Moderate (34 - 80 %),,,,,
Vehicle,Go,1st Lane,,13:20:46,Moderate (34 - 80 %),,,,,
Vehicle,2 Lane Right,1st Lane,,13:20:56,Moderate (34 - 80 %),,,little vehicles; possible pickup/dropoff,,wider road so still 1st lane even after lane switch
Vehicle,Stop,1st Lane,,13:21:10,Moderate (34 - 80 %),,,obstruction,,
Vehicle,Go,1st Lane,,13:21:26,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Left,2nd Lane,,13:21:50,Moderate (34 - 80 %),3km/h,,overtake,,
Vehicle,Stop,2nd Lane,,13:22:34,Moderate (34 - 80 %),,,,,traffic
Vehicle,Go,2nd Lane,,13:23:50,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Left,3rd Lane,,13:24:08,Moderate (34 - 80 %),,,lesser cars,,
Vehicle,1 Lane Left,4th Lane,,13:24:31,Moderate (34 - 80 %),,,lesser cars,,
Vehicle,1 Lane Left,5th Lane,,13:24:43,Moderate (34 - 80 %),1km/h,,lesser cars,,slow moving
Vehicle,Stop,5th Lane,,13:25:26,Moderate (34 - 80 %),,,,,traffic
Vehicle,Go,5th Lane,,13:25:32,Moderate (34 - 80 %),,,,,
Vehicle,Stop,5th Lane,,13:25:35,Moderate (34 - 80 %),,,,,traffic
Vehicle,Go,5th Lane,,13:25:47,Moderate (34 - 80 %),,,,,
Vehicle,Stop,5th Lane,,13:25:53,Moderate (34 - 80 %),,,,,
Vehicle,Go,5th Lane,,13:26:18,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Right,3rd Lane,,13:27:44,Moderate (34 - 80 %),,,attempt to drop off,,"wider road, -1 lane at right"
Vehicle,Stop,3rd Lane,,13:27:16,Moderate (34 - 80 %),,,,,
Vehicle,Unload,3rd Lane,,13:27:17,Moderate (34 - 80 %),,,,16,
Vehicle,Go,3rd Lane,,13:27:46,Moderate (34 - 80 %),,,,,
Vehicle,Stop,3rd Lane,,13:27:54,Moderate (34 - 80 %),,,,,
Vehicle,Go,3rd Lane,,13:28:17,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Left,4th Lane,,13:28:33,Moderate (34 - 80 %),,,road obstruction,,
Vehicle,1 Lane Right,3rd Lane,,13:29:03,Moderate (34 - 80 %),,,lesser cars,,
Vehicle,Stop,3rd Lane,,13:29:12,Moderate (34 - 80 %),,,,,
Vehicle,Go,3rd Lane,,13:29:22,Moderate (34 - 80 %),,,,,
Vehicle,Stop,3rd Lane,,13:29:40,Moderate (34 - 80 %),,,,,
Vehicle,Go,3rd Lane,,13:30:09,Moderate (34 - 80 %),,,,,
